Ax,Ay,Az,Gx,Gy,Gz,Unnamed: 69
1.0215,-8.0769,-0.39499,1.6252,-0.89797,0.058338,0.0
2.6423,-7.3686,2.3018,1.1542,-0.58307,-0.0018326,0.0
2.3563,-8.6762,2.547,1.1399,-0.33872,-0.36224,0.0
1.1713,-10.542,1.5391,1.2743,-0.66401,-0.66951,0.0
0.51757,-10.706,-0.58567,1.354,-1.0311,-0.64355,0.0
0.38137,-9.2074,-1.6617,1.0831,-1.2162,-0.59682,0.0
1.3348,-9.0712,0.34051,1.0095,-0.90836,-0.613,0.0
1.7025,-8.6625,1.2531,0.92057,-0.51191,-0.75014,0.0
-0.054481,-10.624,1.4165,0.92027,0.061697,-0.90683,0.0
0.28603,-11.141,0.89894,1.0256,-0.19303,-0.85094,0.0
1.7298,-11.931,-1.9886,1.0037,-0.13867,-0.83994,0.0
1.471,-12.258,-2.4517,0.93279,0.146,-0.94837,0.0
-0.25879,-13.239,-0.40861,0.5226,-0.09896,-0.82497,0.0
0.095342,-13.362,0.35413,0.054367,-0.81184,-0.59651,0.0
-0.31327,-12.926,-0.027241,-0.32193,-0.64935,-0.50916,0.0
-1.0624,-14.22,-2.1248,-0.45448,-0.025962,-0.25168,0.0
0.72188,-14.547,-2.7377,-0.68447,-0.16738,0.18387,0.0
1.1577,-13.702,-3.1735,-1.8949,0.22969,0.54795,0.0
1.0624,-13.634,-3.3097,-2.66,0.35064,0.72021,0.0
2.1384,-13.579,-2.9011,-2.9712,0.40745,0.80359,0.0
4.8216,-13.498,4.3177,-3.0271,0.59804,1.0342,0.0
8.1858,-13.702,5.1485,-2.4548,0.29077,1.0052,0.0
8.2539,-13.157,4.127,-1.9239,-0.34453,1.0073,0.0
3.9908,-12.149,-2.0431,-1.9991,-0.5226,1.1219,0.0
2.6968,-11.605,-2.0975,-1.9639,-0.66706,1.2291,0.0
-0.57205,-12.258,0.44947,-1.5366,-1.0372,1.1689,0.0
-1.0896,-11.441,1.9477,-0.76694,-0.28344,1.5266,0.0
0.83084,-10.065,1.6344,-1.0263,0.44196,1.4905,0.0
2.0431,-8.8396,2.7649,-1.441,1.3735,1.3644,0.0
2.8058,-7.4367,3.1599,-1.9737,3.0635,1.4569,0.0
1.8115,-6.7285,2.4653,-1.9832,3.0323,1.5101,0.0
1.9613,-6.0611,1.9477,-1.7217,2.7443,1.1338,0.0
3.732,-4.0044,2.9284,-1.6289,2.9172,0.86101,0.0
4.7535,-3.051,2.547,-1.0324,2.6848,0.59346,0.0
5.0123,-2.9284,2.1929,0.046426,2.0177,0.52565,0.0
5.1757,-2.4517,0.5993,0.3656,1.6897,0.46059,0.0
5.1213,-2.6696,0.14982,1.5388,0.63102,0.11332,0.0
5.1894,-3.909,-0.49033,1.9728,0.32193,-0.052534,0.0
4.985,-7.4095,-3.5277,3.0928,-0.74587,-0.5061,0.0
1.2667,-14.22,-9.9565,3.1716,-0.92332,-0.68203,0.0
-1.866,-18.891,-17.475,1.3488,0.18998,-0.46578,0.0
-1.8932,-17.502,-8.7715,-1.2572,2.0296,0.11698,0.0
0.72188,-11.591,-5.8295,-1.7046,0.23305,0.47495,0.0
4.9306,-3.732,-1.58,-1.3467,0.047037,0.39126,0.0
7.9679,-9.3436,7.1234,0.71013,-1.7547,-0.35339,0.0
9.4525,-16.208,10.188,1.2474,-2.1707,-0.68997,0.0
8.4446,-17.189,8.5944,0.67653,-1.6866,-0.5174,0.0
-1.2803,-8.7987,-1.8524,0.53329,-0.97433,0.15302,0.0
1.3212,-5.5707,-0.32689,0.94134,-1.3754,0.30971,0.0
2.5879,-6.17,5.0531,1.0849,-2.1023,0.11973,0.0
3.9363,-8.8941,8.9758,2.7061,-3.7318,-0.29627,0.0
3.7184,-11.414,6.4697,2.5131,-3.8307,-0.76297,0.0
2.0975,-11.713,2.152,1.7587,-1.4233,-0.52229,0.0
0.62654,-10.406,-4.3177,1.0354,1.5345,-0.71135,0.0
1.3212,-9.4253,-2.6287,1.5098,-0.053451,-0.36744,0.0
2.0839,-7.7636,3.8954,1.5351,-1.383,-0.13928,0.0
3.8273,-7.1915,3.4187,1.6231,-1.412,-0.41661,0.0
0.12258,-10.311,-0.35413,1.368,-0.64568,-0.72143,0.0
-0.64016,-10.583,-1.8115,1.1796,-1.3693,-0.52993,0.0
-0.40861,-10.379,-2.2746,0.94745,-1.3308,-0.45968,0.0
0.57205,-10.025,-2.3155,0.72296,-1.0131,-0.5736,0.0
0.36775,-9.5615,1.7025,0.60018,-0.62064,-0.64049,0.0
-0.21793,-10.038,2.2065,0.67898,-0.20464,-0.75106,0.0
-0.027241,-10.706,1.5391,0.81459,-0.083383,-0.748,0.0
2.1793,-11.25,-0.64016,0.80207,0.15302,-0.78221,0.0
2.4789,-11.414,-1.9068,0.82406,0.38943,-0.87659,0.0
1.2258,-11.809,-1.58,0.59682,0.48961,-0.93493,0.0
1.3757,-12.79,0.58567,0.15394,-0.19517,-0.78863,0.0
0.57205,-12.19,0.50395,-0.18479,-0.75136,-0.5565,0.0
-0.14982,-12.776,-0.44947,-0.51526,-0.05284,-0.36072,0.0
-0.77636,-14.737,-3.7728,-0.67501,0.011301,-0.015577,0.0
0.50395,-14.247,-3.1599,-1.467,-0.24221,0.34453,0.0
0.99429,-13.212,-4.0997,-2.1612,0.19517,0.52901,0.0
1.2122,-12.844,-4.522,-2.9483,0.087354,0.74984,0.0
4.5764,-13.593,2.4517,-3.1258,0.55436,0.95295,0.0
6.7829,-13.607,5.0259,-2.6389,0.56658,0.88026,0.0
8.1722,-13.416,4.522,-2.3045,0.1741,0.88759,0.0
4.4947,-12.871,-2.3155,-1.8573,-1.0073,1.0922,0.0
3.0237,-12.871,-2.4925,-1.8085,-1.1188,1.379,0.0
2.4517,-13.089,-1.2531,-1.6435,-1.3506,1.2538,0.0
-0.7355,-11.359,2.4244,-1.1735,-1.343,1.1209,0.0
-0.70826,-10.801,2.1929,-0.79901,-0.22816,1.4508,0.0
1.2531,-9.4934,1.58,-1.2199,0.65607,1.3488,0.0
2.9284,-7.5729,3.0782,-1.8775,2.616,1.3665,0.0
1.9477,-6.5378,3.0918,-1.8411,2.9651,1.379,0.0
1.5936,-5.8023,2.9011,-1.6441,2.8011,1.1066,0.0
2.2065,-3.8954,2.6696,-1.504,2.682,0.79535,0.0
4.6445,-2.1656,2.7241,-0.97372,2.5727,0.55864,0.0
4.5628,-1.9886,2.3427,-0.24618,2.3237,0.49052,0.0
4.9033,-2.0567,1.0624,0.48228,1.8503,0.39126,0.0
5.2983,-2.4244,0.76274,1.252,1.2364,0.20831,0.0
5.8295,-3.2008,0.32689,2.2229,0.42669,-0.16005,0.0
5.0668,-8.6625,-4.018,3.054,-0.32895,-0.624,0.0
1.1577,-14.329,-8.4446,3.2376,-0.82833,-0.84055,0.0
-0.8036,-18.932,-16.344,1.9853,-0.3934,-0.46578,0.0
-2.152,-16.944,-10.106,-1.982,2.0675,0.42455,0.0
-0.095342,-7.5593,-4.5083,-1.7715,1.0571,0.5507,0.0
2.7786,-1.9886,-1.975,-1.0452,0.49633,0.23915,0.0
5.7205,-7.9679,3.5822,0.45754,-0.39095,-0.6295,0.0
8.5672,-15.337,8.3084,1.7602,-2.029,-0.90225,0.0
3.0373,-16.767,-2.547,1.4856,-1.9013,-0.78618,0.0
-2.152,-10.746,-2.1248,0.12339,-1.1234,0.33414,0.0
-2.152,-10.746,-2.1248,0.65607,-1.4887,0.6576,0.0
2.4789,-3.051,2.0839,1.3033,-1.2459,0.37232,0.0
6.4152,-4.0044,2.9148,2.0986,-2.6741,-0.39309,0.0
3.2825,-12.408,7.1779,2.6114,-3.4645,-0.85827,0.0
2.152,-13.443,5.8567,1.1991,-1.1307,-0.71685,0.0
-0.6674,-11.414,-4.018,0.73182,0.0076358,-0.74709,0.0
0.78998,-9.1665,-3.1327,1.3421,1.4481,-0.55405,0.0
2.1248,-7.7227,1.3757,1.3354,-1.018,-0.09163,0.0
3.9771,-7.2869,3.8818,1.281,-0.69578,-0.26695,0.0
1.6072,-9.9565,2.656,1.2104,-0.64202,-0.59804,0.0
0.38137,-10.801,0.92618,1.2162,-0.78221,-0.76205,0.0
-1.0215,-10.828,-1.4982,0.96425,-0.98258,-0.57879,0.0
-0.51757,-9.7794,-2.261,0.86437,-1.2514,-0.43127,0.0
0.85808,-9.6704,-0.89894,0.70158,-1.0834,-0.33262,0.0
2.3018,-9.2755,1.5391,0.51771,-0.24709,-0.64568,0.0
0.89894,-10.202,1.9613,0.66187,0.071777,-0.78191,0.0
0.6674,-10.665,1.5527,0.78893,0.098349,-0.8659,0.0
1.6072,-11.319,0.14982,0.85338,0.34239,-0.92393,0.0
2.0431,-11.21,-1.6753,0.89461,0.52473,-0.99143,0.0
1.1577,-11.7,-1.7706,0.71013,0.40378,-0.86712,0.0
1.4165,-12.667,-0.47671,0.29871,-0.40042,-0.6017,0.0
0.20431,-12.681,-0.44947,-0.15241,-0.81581,-0.48167,0.0
-1.076,-13.934,-3.0101,-0.52137,-0.41081,-0.39828,0.0
-0.92618,-14.315,-3.7047,-0.63683,-0.026573,-0.12217,0.0
-0.34051,-13.866,-2.1929,-1.62,-0.072388,0.33323,0.0
-0.12258,-13.525,-2.2065,-2.3051,0.38759,0.61667,0.0
1.7434,-13.443,-3.2825,-2.9102,0.61239,0.86499,0.0
4.5901,-13.729,0.96704,-3.0861,0.69242,1.0696,0.0
9.0575,-13.484,4.3721,-2.6704,0.58215,0.99143,0.0
9.0984,-12.967,3.8682,-2.1631,0.094379,0.9108,0.0
4.2359,-11.291,-0.76274,-1.9074,-0.34972,0.94745,0.0
2.3563,-11.468,-2.3427,-1.8375,-0.33964,1.1741,0.0
1.471,-12.803,-1.4438,-1.6765,-1.1374,1.4355,0.0
-1.4029,-13.212,2.5742,-0.9163,-0.82253,1.7205,0.0
-0.46309,-11.591,1.7979,-0.5171,0.083689,1.8164,0.0
1.866,-9.8066,2.0703,-1.109,1.2303,1.6215,0.0
3.2008,-7.7227,2.5061,-1.6732,2.3515,1.6316,0.0
2.9148,-7.2324,2.9011,-1.9459,2.9077,1.4936,0.0
2.438,-5.203,2.4925,-1.8424,2.9224,1.1133,0.0
3.1735,-3.6366,2.3699,-1.7119,2.6573,0.78007,0.0
4.4947,-3.2689,2.2882,-0.75045,2.3268,0.61453,0.0
4.7399,-3.337,2.0839,-0.12706,2.138,0.5849,0.0
4.9987,-2.9965,0.88532,0.4777,1.8619,0.52901,0.0
5.0259,-2.7786,0.51757,1.2226,1.2596,0.27428,0.0
5.7614,-3.514,-0.5993,2.1414,0.25717,-0.086132,0.0
5.5435,-7.5048,-4.0452,2.9022,-0.76908,-0.54336,0.0
0.6674,-14.996,-10.488,3.0931,-1.2168,-0.81001,0.0
-2.152,-19.314,-18.605,1.8097,-0.61881,-0.68234,0.0
-2.9556,-18.878,-9.507,-1.5553,2.2333,0.1179,0.0
-0.42223,-9.9565,-4.7126,-1.7715,1.449,0.37843,0.0
4.1814,-2.1384,-1.9341,-1.1802,0.3091,0.37965,0.0
4.6037,-3.9635,0.6674,0.14264,-0.83169,-0.079718,0.0
7.7636,-12.177,7.3686,1.416,-2.2978,-0.613,0.0
7.8453,-17.734,5.6252,1.4997,-2.2135,-0.68722,0.0
2.5061,-14.492,-4.2632,0.80359,-1.3427,-0.35583,0.0
0.47671,-6.9872,0.21793,0.014355,-0.40775,0.039095,0.0
5.5026,-4.9306,1.0624,0.38759,-1.5934,0.24923,0.0
4.6445,-5.0259,6.7829,1.1509,-2.1246,-0.24129,0.0
3.0782,-9.4117,9.8748,2.7012,-3.9679,-0.67348,0.0
2.4108,-13.212,6.8102,2.2736,-2.2944,-0.70983,0.0
1.2803,-12.721,3.7592,1.0489,0.1799,-0.66279,0.0
-0.55843,-10.624,-6.6467,1.1646,1.4019,-0.62094,0.0
1.5119,-8.2676,1.4029,1.7236,-0.28039,-0.27153,0.0
2.3836,-6.9872,3.1872,1.4245,-1.3192,0.0030543,0.0
3.9635,-7.7091,2.9692,1.5259,-1.0547,-0.47739,0.0
0.50395,-10.488,0.83084,1.2853,-0.5003,-0.75869,0.0
-1.1577,-10.828,-0.12258,1.4001,-1.1093,-0.62278,0.0
-1.185,-10.229,-1.8796,1.0153,-1.065,-0.4441,0.0
0.9398,-9.8066,-1.9205,0.67837,-0.64782,-0.40561,0.0
1.2803,-9.1529,-0.49033,0.69852,-0.59468,-0.48472,0.0
0.76274,-9.7249,1.7162,0.57757,-0.32926,-0.69089,0.0
0.10896,-10.746,1.4846,0.69914,-0.0079412,-0.76114,0.0
1.0079,-11.319,0.6674,0.82284,-0.058643,-0.74067,0.0
2.3427,-11.768,-1.185,0.82589,0.24465,-0.84391,0.0
1.6889,-12.449,-1.0624,0.5507,0.30299,-0.82436,0.0
1.5527,-12.912,-0.53119,0.15455,-0.15577,-0.6185,0.0
0.92618,-12.272,0.1362,-0.197,-0.68783,-0.4612,0.0
-0.76274,-13.539,-0.6674,-0.47342,-0.28405,-0.46976,0.0
-1.6753,-15.527,-3.1872,-0.59559,0.11301,-0.1909,0.0
-0.96704,-13.893,-2.8603,-1.0061,-0.08827,0.26298,0.0
0.054481,-13.498,-3.6094,-1.814,0.23976,0.49633,0.0
2.1929,-13.144,-4.5083,-2.9431,0.59987,0.80237,0.0
4.2768,-13.144,0.8036,-3.2009,0.60445,0.88942,0.0
6.1292,-13.416,4.3994,-2.9505,0.58063,0.83078,0.0
7.927,-13.675,4.7399,-2.4065,0.09163,0.92729,0.0
4.9578,-12.612,-0.43585,-2.0308,-0.50152,1.0024,0.0
2.6423,-11.795,-1.9068,-1.9196,-0.56383,1.2501,0.0
0.65378,-13.348,-0.081722,-1.587,-1.1093,1.379,0.0
-1.0215,-12.217,1.8387,-1.0146,-1.5336,1.5913,0.0
-0.64016,-10.869,0.64016,-0.84971,0.75259,1.8433,0.0
0.55843,-9.9973,1.4029,-1.6982,1.9777,1.4743,0.0
3.5413,-7.1234,3.3506,-2.3839,2.813,1.252,0.0
2.4653,-5.4073,2.9965,-2.0357,2.9945,1.2669,0.0
2.2474,-4.5083,2.5606,-1.7703,2.6991,0.97097,0.0
2.9284,-3.732,2.4244,-1.5391,2.445,0.68295,0.0
4.5083,-3.5413,2.4244,-0.94776,2.2636,0.51832,0.0
5.3256,-3.2689,1.9205,-0.38698,2.1548,0.47128,0.0
5.203,-1.9477,0.95342,0.13073,2.0168,0.47739,0.0
5.4754,-2.2746,0.32689,1.4667,0.92516,0.20067,0.0
5.9521,-3.7865,-0.21793,2.499,-0.1854,-0.15058,0.0
6.3471,-5.9249,-1.9613,3.2904,-1.3405,-0.65943,0.0
1.1577,-14.383,-8.9622,3.2171,-1.6432,-0.96914,0.0
-2.152,-19.436,-18.864,1.5718,-0.76877,-0.71349,0.0
-3.7047,-19.559,-14.478,-1.6881,2.3317,-0.24984,0.0
0.61292,-8.5944,-3.732,-1.8702,1.7251,0.3094,0.0
5.094,-2.0975,-0.76274,-1.0284,0.21166,0.10018,0.0
6.1836,-5.5435,3.5549,0.63041,-1.7559,-0.37477,0.0
9.0167,-15.159,8.2812,1.8531,-2.3662,-0.88148,0.0
7.9951,-18.714,4.2495,1.4184,-2.0284,-0.66768,0.0
-1.185,-11.482,-1.6072,0.31032,-0.8656,-0.022297,0.0
0.7355,-3.9908,3.7728,0.72601,-1.19,0.4218,0.0
3.9635,-4.0316,0.92618,1.1887,-2.0827,0.31307,0.0
4.0044,-6.6331,4.522,1.6845,-2.6337,-0.4554,0.0
2.3699,-10.91,7.2188,2.1732,-3.4853,-0.748,0.0
1.4165,-12.776,4.4947,2.1374,-2.2911,-0.76358,0.0
0.69464,-12.408,2.7104,1.2016,-0.58826,-0.49205,0.0
-0.12258,-9.9565,-4.2087,1.8185,0.96059,-0.2584,0.0
2.6968,-8.0905,-1.2667,1.4994,-0.86132,0.034819,0.0
3.732,-7.3414,1.2939,1.2837,-0.98166,-0.14142,0.0
2.9284,-8.4719,2.6832,1.2877,-0.38912,-0.48778,0.0
1.2258,-9.7658,2.2474,1.1689,-0.5736,-0.77763,0.0
-0.96704,-10.637,-0.51757,1.1646,-0.93798,-0.72968,0.0
-0.1362,-10.065,-2.0294,0.77,-0.82192,-0.46395,0.0
1.0215,-9.8066,-1.185,0.67409,-0.57818,-0.4441,0.0
1.3757,-9.6704,0.85808,0.62156,-0.36102,-0.55222,0.0
0.64016,-9.9292,2.0022,0.6408,-0.13042,-0.68386,0.0
0.85808,-10.678,1.3893,0.75503,-0.098349,-0.71257,0.0
2.0294,-11.128,0.35413,0.84727,0.10873,-0.82161,0.0
2.656,-11.427,-1.6072,0.86468,0.23579,-0.90194,0.0
0.64016,-11.509,-0.92618,0.75411,0.37232,-1.0091,0.0
-0.027241,-12.299,0.58567,0.18051,-0.39981,-0.66951,0.0
0.10896,-12.217,0.65378,-0.11942,-0.66829,-0.47464,0.0
-0.55843,-13.416,-0.81722,-0.37782,-0.059559,-0.41203,0.0
-0.61292,-14.601,-2.9556,-0.49236,0.18937,-0.075442,0.0
1.4846,-13.675,-2.9284,-1.0916,-0.049175,0.27214,0.0
1.0488,-13.566,-3.4323,-1.7681,0.27092,0.58582,0.0
1.0624,-13.293,-3.6503,-2.4984,0.26237,0.68661,0.0
3.8954,-13.729,0.9398,-3.1997,0.39798,0.90164,0.0
5.8431,-13.579,4.699,-2.8695,0.7364,0.85094,0.0
7.8045,-13.116,5.0123,-2.2929,0.2364,0.87476,0.0
4.699,-12.068,-0.7355,-1.996,-0.44349,0.94165,0.0
3.1327,-11.169,-2.3155,-1.9978,-0.52962,1.0409,0.0
1.5119,-12.217,-1.2803,-1.6903,-0.76847,1.2495,0.0
-1.2803,-12.19,1.866,-0.89675,-1.6945,1.5733,0.0
-0.99429,-11.346,0.99429,-0.43127,0.14172,1.846,0.0
0.21793,-10.447,1.1577,-1.1304,1.3237,1.6503,0.0
2.6423,-9.0303,2.4517,-1.314,1.8619,1.6035,0.0
2.4517,-6.8647,3.2689,-1.9505,3.0519,1.5437,0.0
1.9613,-6.3471,2.4925,-1.817,3.1475,1.3415,0.0
2.656,-4.6445,2.2882,-1.6897,2.8353,0.97219,0.0
4.7399,-3.9908,2.1929,-1.0687,2.4627,0.76664,0.0
5.094,-3.8001,1.8524,-0.45693,2.2364,0.59254,0.0
5.0395,-3.4459,1.2122,0.058643,1.825,0.48625,0.0
5.1213,-2.7241,0.61292,1.0666,1.0861,0.24435,0.0
5.6933,-3.1463,-0.16344,1.9694,0.1857,-0.11606,0.0
5.7478,-4.4266,-1.076,2.3625,-0.19487,-0.34056,0.0
2.0703,-11.332,-6.6331,2.9874,-1.087,-0.87965,0.0
-0.58567,-17.625,-13.157,2.1677,-0.63897,-0.87048,0.0
-5.2983,-19.504,-17.529,-0.5959,1.824,-0.25198,0.0
-1.0896,-11.564,-6.6331,-1.6832,1.6286,0.30452,0.0
1.4301,-4.9442,-3.6094,-1.1897,0.14294,0.27764,0.0
4.3177,-3.3778,-1.1169,-0.64721,-0.20372,0.0956,0.0
8.9622,-12.64,7.8045,1.0434,-1.9016,-0.46304,0.0
9.8339,-18.02,6.7829,1.7657,-2.2849,-0.87537,0.0
5.8023,-16.031,2.6423,0.69761,-0.8772,-0.21747,0.0
-1.185,-6.8374,0.28603,0.39951,-0.61575,0.35675,0.0
3.0918,-4.7535,0.44947,0.83353,-1.5082,0.35033,0.0
4.6173,-6.674,7.1507,1.3024,-2.3946,-0.24282,0.0
3.5685,-8.4719,9.1256,2.3286,-3.6725,-0.4893,0.0
2.9011,-10.351,5.6388,2.3943,-2.8552,-0.81489,0.0
0.8717,-12.422,2.3563,1.022,0.19731,-0.62858,0.0
-1.2531,-12.681,-2.4925,1.0012,0.99876,-0.66004,0.0
-0.34051,-9.9429,-4.2087,1.6145,0.56597,-0.29871,0.0
2.8875,-7.3141,2.3155,1.4557,-1.2886,0.062308,0.0
3.9771,-7.246,2.7377,1.3082,-0.78802,-0.18387,0.0
3.3506,-8.6762,2.3836,1.2758,-0.60201,-0.67042,0.0
-0.25879,-10.801,0.44947,1.1735,-0.54031,-0.84238,0.0
-0.57205,-10.42,-0.51757,1.0568,-1.3812,-0.6185,0.0
-0.28603,-10.311,-1.7298,0.85063,-1.1292,-0.60231,0.0
0.5993,-9.4117,-0.24517,0.75075,-0.62797,-0.63286,0.0
0.5993,-9.4117,1.6072,0.60079,-0.1967,-0.70097,0.0
-0.40861,-9.9292,1.6072,0.69425,-0.1069,-0.63347,0.0
1.185,-11.032,0.70826,0.76694,-0.16799,-0.59865,0.0
2.6151,-11.7,-0.28603,0.77213,0.071166,-0.70616,0.0
2.3018,-12.612,-1.7298,0.76541,0.28436,-0.90897,0.0
0.44947,-12.572,-0.96704,0.36682,0.22327,-0.95753,0.0
0.25879,-13.144,-0.51757,0.18631,-0.16738,-0.76267,0.0
0.38137,-12.599,0.054481,-0.17685,-0.68356,-0.45235,0.0
-0.85808,-14.097,-2.833,-0.62827,0.11087,-0.26664,0.0
-0.47671,-15.132,-4.304,-0.92149,0.19181,0.091935,0.0
0.38137,-14.124,-3.5549,-1.7816,0.29413,0.36499,0.0
1.4165,-12.612,-4.2087,-2.5256,0.39951,0.6576,0.0
2.2201,-13.198,-2.9829,-3.2684,0.32223,0.86529,0.0
4.2632,-14.574,3.2144,-3.3622,0.92393,0.94959,0.0
6.674,-14.247,4.9442,-2.5959,0.75381,0.87476,0.0
5.3119,-12.871,1.1713,-2.2223,-0.2868,1.0244,0.0
3.9635,-12.626,-1.2122,-2.1588,-0.52718,1.1848,0.0
2.4108,-12.503,-2.152,-1.9316,-0.59743,1.4016,0.0
1.7298,-13.062,-1.6344,-1.1533,-1.2975,1.6457,0.0
-0.23155,-10.229,1.1577,-0.57635,-0.79565,1.8442,0.0
0.17706,-9.9292,1.7025,-1.2489,1.0119,1.7917,0.0
2.8875,-7.3414,3.2689,-2.1215,2.668,1.481,0.0
2.3427,-6.8647,3.5549,-2.0467,3.0256,1.5177,0.0
2.3155,-6.3743,2.6015,-1.9725,2.8662,1.408,0.0
2.5198,-5.3937,2.9965,-1.6875,2.7138,0.85216,0.0
4.8352,-2.6696,2.8058,-1.0724,2.4141,0.49388,0.0
5.0259,-2.5742,2.4789,-0.43035,2.178,0.32467,0.0
5.5026,-2.3699,1.0896,0.18357,1.8283,0.24801,0.0
5.7342,-2.0567,0.43585,0.88301,1.2956,0.10018,0.0
6.0202,-2.6832,-0.36775,2.2981,0.26512,-0.31001,0.0
5.0804,-6.5378,-2.8194,2.7297,-0.082161,-0.53267,0.0
2.833,-9.6296,-4.8216,3.2159,-0.77336,-0.90744,0.0
0.27241,-17.924,-12.572,1.7978,-0.42669,-0.79382,0.0
-3.5685,-19.545,-16.413,-1.5379,2.5265,-0.16005,0.0
-0.01362,-10.324,-5.4481,-1.8408,1.1781,0.32009,0.0
5.2575,-3.8137,-1.2395,-1.3873,0.23915,0.21655,0.0
5.8295,-6.96,2.1929,-0.054062,-0.66798,-0.1912,0.0
8.3357,-16.549,8.0769,1.3928,-1.9407,-0.74464,0.0
3.2416,-15.5,-0.31327,1.0385,-2.1118,-0.3427,0.0
-1.1032,-11.931,-1.3076,0.50641,-1.5861,0.51191,0.0
2.5606,-3.2553,2.0975,1.3106,-1.9068,0.77244,0.0
5.7886,-3.6094,-1.4301,1.4875,-1.7654,0.22755,0.0
4.6582,-7.6274,6.1155,1.7825,-3.2938,-0.72204,0.0
3.4732,-9.0712,8.2812,2.2306,-3.2382,-0.99418,0.0
0.68102,-13.266,3.9635,1.6649,-1.2559,-1.0602,0.0
-2.0567,-12.435,-2.438,1.0287,0.80023,-0.71777,0.0
-1.9886,-9.0712,-2.9556,1.4563,0.59346,-0.29016,0.0
2.0158,-7.5593,1.0351,1.3369,-0.98655,0.10629,0.0
